"","smiles","drugbank_id","prestwick_ID"
"41","ClC1=CC(Cl)=C(CO\N=C(/CN2C=CN=C2)C2=CC=C(Cl)C=C2Cl)C=C1","DB00239","Prestw-1125"
"42","[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])[C@H](Cl)CC2=CC(=O)C=C[C@]12C","DB00240","Prestw-771"
"43","CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O","DB00241","Prestw-1251"
"44","NC1=C2N=CN([C@H]3C[C@H](O)[C@@H](CO)O3)C2=NC(Cl)=N1","DB00242","Prestw-1484"
"45","COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1","DB00243","Prestw-1092"
"46","NC1=CC(C(O)=O)=C(O)C=C1","DB00244","Prestw-1069"
"47","[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C","DB00245","Prestw-1236"
"48","ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1","DB00246","Prestw-1188"
"49","OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(I)C(=O)NC1=O","DB00249","Prestw-18"
"50","NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1","DB00250","Prestw-35"
"51","CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1","DB00251","Prestw-495"
"52","[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C","DB00253","Prestw-743"
"53","[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O","DB00254","Prestw-1399"
"54","CC\C(=C(\CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1","DB00255","Prestw-756"
"55","[H][C@@]12C[C@@]3([H])C(C(=O)C4=C(O)C=CC=C4[C@@]3(C)O)=C(O)[C@]1(O)C(=O)C(C(=O)NCNCCCC[C@H](N)C(O)=O)=C(O)[C@H]2N(C)C","DB00256","Prestw-1000"
"56","ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1","DB00257","Prestw-267"
"57","NC1=CC=C(C=C1)S(N)(=O)=O","DB00259","Prestw-729"
"58","N[C@@H]1CONC1=O","DB00260","Prestw-1086"
"59","CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C","DB00263","Prestw-334"
"60","COCCC1=CC=C(OCC(O)CNC(C)C)C=C1","DB00264","Prestw-733"
"61","CCN(C(=O)C=CC)C1=CC=CC=C1C","DB00265","Prestw-951"
"62","OC1=C(CC2=C(O)C3=C(OC2=O)C=CC=C3)C(=O)OC2=C1C=CC=C2","DB00266","Prestw-785"
"63","CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1","DB00268","Prestw-1158"
"64","COC1=CC=C(C=C1)C(Cl)=C(C1=CC=C(OC)C=C1)C1=CC=C(OC)C=C1","DB00269","Prestw-757"
"65","COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C","DB00270","Prestw-1021"
"66","NCCC1=CC=NN1","DB00272","Prestw-43"
